"Survived","Pclass","Sex","Age","SibSp","Parch"
"119","M","1","male","joven","solo","con_padres"
"120","M","3","female","menor","muchos_hermanos","con_padres"
"121","M","2","male","joven","pocos_hermanos","sin_padres"
"122","M","3","male","joven","solo","sin_padres"
"123","M","2","male","adulto","pareja","sin_padres"
"124","S","2","female","adulto","solo","sin_padres"
"125","M","1","male","adulto_mayor","solo","con_padres"
"126","S","3","male","menor","pareja","sin_padres"
"127","M","3","male","joven","solo","sin_padres"
"128","S","3","male","joven","solo","sin_padres"
"129","S","3","female","menor","pareja","con_padres"
"130","M","3","male","adulto_mayor","solo","sin_padres"
"131","M","3","male","adulto","solo","sin_padres"
"132","M","3","male","joven","solo","sin_padres"
"133","M","3","female","adulto_mayor","pareja","sin_padres"
"134","S","2","female","adulto","pareja","sin_padres"
"135","M","2","male","joven","solo","sin_padres"
"136","M","2","male","joven","solo","sin_padres"
"137","S","1","female","joven","solo","con_padres"
"138","M","1","male","adulto","pareja","sin_padres"
"139","M","3","male","joven","solo","sin_padres"
"140","M","1","male","joven","solo","sin_padres"
"141","M","3","female","adulto","solo","con_padres"
"142","S","3","female","joven","solo","sin_padres"
"143","S","3","female","joven","pareja","sin_padres"
"144","M","3","male","joven","solo","sin_padres"
"145","M","2","male","joven","solo","sin_padres"
"146","M","2","male","joven","pareja","con_padres"
"147","S","3","male","joven","solo","sin_padres"
"148","M","3","female","menor","pocos_hermanos","con_padres"
"149","M","2","male","adulto","solo","con_padres"
"150","M","2","male","adulto","solo","sin_padres"
"151","M","2","male","adulto_mayor","solo","sin_padres"
"152","S","1","female","joven","pareja","sin_padres"
"153","M","3","male","adulto_mayor","solo","sin_padres"
"154","M","3","male","adulto","solo","con_padres"
"155","M","3","male","joven","solo","sin_padres"
"156","M","1","male","adulto_mayor","solo","con_padres"
"157","S","3","female","joven","solo","sin_padres"
"158","M","3","male","adulto","solo","sin_padres"
"159","M","3","male","joven","solo","sin_padres"
"160","M","3","male","menor","muchos_hermanos","con_padres"
"161","M","3","male","adulto","solo","con_padres"
"162","S","2","female","adulto","solo","sin_padres"
"163","M","3","male","joven","solo","sin_padres"
"164","M","3","male","joven","solo","sin_padres"
"165","M","3","male","menor","muchos_hermanos","con_padres"
"166","S","3","male","menor","solo","con_padres"
"167","S","1","female","adulto","solo","con_padres"
"168","M","3","female","adulto_mayor","pareja","con_hijos"
"169","M","1","male","adulto_mayor","solo","sin_padres"
"170","M","3","male","joven","solo","sin_padres"
"171","M","1","male","adulto_mayor","solo","sin_padres"
"172","M","3","male","menor","muchos_hermanos","con_padres"
"173","S","3","female","menor","pareja","con_padres"
"174","M","3","male","joven","solo","sin_padres"
"175","M","1","male","adulto_mayor","solo","sin_padres"
"176","M","3","male","joven","pareja","con_padres"
"177","M","3","male","menor","pocos_hermanos","con_padres"
"178","M","1","female","adulto_mayor","solo","sin_padres"
"179","M","2","male","adulto","solo","sin_padres"
"180","M","3","male","adulto","solo","sin_padres"
"181","M","3","female","menor","muchos_hermanos","con_padres"
"182","M","2","male","adulto","solo","sin_padres"
"183","M","3","male","menor","muchos_hermanos","con_padres"
"184","S","2","male","menor","pocos_hermanos","con_padres"
"185","S","3","female","menor","solo","con_padres"
"186","M","1","male","adulto_mayor","solo","sin_padres"
"187","S","3","female","joven","pareja","sin_padres"
"188","S","1","male","adulto_mayor","solo","sin_padres"
"189","M","3","male","adulto","pareja","con_padres"
"190","M","3","male","adulto","solo","sin_padres"
"191","S","2","female","adulto","solo","sin_padres"
"192","M","2","male","joven","solo","sin_padres"
"193","S","3","female","joven","pareja","sin_padres"
"194","S","2","male","menor","pareja","con_padres"
"195","S","1","female","adulto","solo","sin_padres"
"196","S","1","female","adulto_mayor","solo","sin_padres"
"197","M","3","male","joven","solo","sin_padres"
"198","M","3","male","adulto","solo","con_padres"
"199","S","3","female","joven","solo","sin_padres"
"200","M","2","female","joven","solo","sin_padres"
"201","M","3","male","joven","solo","sin_padres"
"202","M","3","male","menor","muchos_hermanos","con_padres"
"203","M","3","male","adulto","solo","sin_padres"
"204","M","3","male","adulto_mayor","solo","sin_padres"
"205","S","3","male","joven","solo","sin_padres"
"206","M","3","female","menor","solo","con_padres"
"207","M","3","male","adulto","pareja","sin_padres"
"208","S","3","male","joven","solo","sin_padres"
"209","S","3","female","joven","solo","sin_padres"
"210","S","1","male","adulto","solo","sin_padres"
"211","M","3","male","joven","solo","sin_padres"
"212","S","2","female","adulto","solo","sin_padres"
"213","M","3","male","joven","solo","sin_padres"
"214","M","2","male","adulto","solo","sin_padres"
"215","M","3","male","joven","pareja","sin_padres"
"216","S","1","female","adulto","pareja","sin_padres"
"217","S","3","female","joven","solo","sin_padres"
"218","M","2","male","adulto","pareja","sin_padres"
"219","S","1","female","adulto","solo","sin_padres"
"220","M","2","male","adulto","solo","sin_padres"
"221","S","3","male","joven","solo","sin_padres"
"222","M","2","male","joven","solo","sin_padres"
"223","M","3","male","adulto_mayor","solo","sin_padres"
"224","M","3","male","joven","solo","sin_padres"
"225","S","1","male","adulto","pareja","sin_padres"
"226","M","3","male","joven","solo","sin_padres"
"227","S","2","male","joven","solo","sin_padres"
"228","M","3","male","joven","solo","sin_padres"
"229","M","2","male","joven","solo","sin_padres"
"230","M","3","female","menor","pocos_hermanos","con_padres"
"231","S","1","female","adulto","pareja","sin_padres"
"232","M","3","male","adulto","solo","sin_padres"
"233","M","2","male","adulto_mayor","solo","sin_padres"
"234","S","3","female","menor","muchos_hermanos","con_padres"
"235","M","2","male","joven","solo","sin_padres"
"236","M","3","female","joven","solo","sin_padres"
"237","M","2","male","adulto","pareja","sin_padres"
"238","S","2","female","menor","solo","con_padres"
"239","M","2","male","joven","solo","sin_padres"
"240","M","2","male","adulto","solo","sin_padres"
"241","M","3","female","joven","pareja","sin_padres"
"242","S","3","female","joven","pareja","sin_padres"
"243","M","2","male","adulto","solo","sin_padres"
"244","M","3","male","joven","solo","sin_padres"
"245","M","3","male","adulto","solo","sin_padres"
"246","M","1","male","adulto","pocos_hermanos","sin_padres"
"247","M","3","female","joven","solo","sin_padres"
"248","S","2","female","joven","solo","con_padres"
"249","S","1","male","adulto","pareja","con_padres"
"250","M","2","male","adulto_mayor","pareja","sin_padres"
"251","M","3","male","joven","solo","sin_padres"
"252","M","3","female","adulto","pareja","con_padres"
"253","M","1","male","adulto_mayor","solo","sin_padres"
"254","M","3","male","adulto","pareja","sin_padres"
"255","M","3","female","adulto","solo","con_padres"
"256","S","3","female","adulto","solo","con_padres"
"257","S","1","female","adulto","solo","sin_padres"
"258","S","1","female","adulto","solo","sin_padres"
"259","S","1","female","adulto","solo","sin_padres"
"260","S","2","female","adulto_mayor","solo","con_padres"
"261","M","3","male","joven","solo","sin_padres"
"262","S","3","male","menor","muchos_hermanos","con_padres"
"263","M","1","male","adulto_mayor","pareja","con_padres"
"264","M","1","male","adulto","solo","sin_padres"
"265","M","3","female","joven","solo","sin_padres"
"266","M","2","male","adulto","solo","sin_padres"
"267","M","3","male","joven","muchos_hermanos","con_padres"
"268","S","3","male","joven","pareja","sin_padres"
"269","S","1","female","adulto_mayor","solo","con_padres"
"270","S","1","female","adulto","solo","sin_padres"
"271","M","1","male","adulto_mayor","solo","sin_padres"
"272","S","3","male","joven","solo","sin_padres"
"273","S","2","female","adulto","solo","con_padres"
"274","M","1","male","adulto","solo","con_padres"
"275","S","3","female","joven","solo","sin_padres"
"276","S","1","female","adulto_mayor","pareja","sin_padres"
"277","M","3","female","adulto_mayor","solo","sin_padres"
"278","M","2","male","adulto","solo","sin_padres"
"279","M","3","male","menor","muchos_hermanos","con_padres"
"280","S","3","female","adulto","pareja","con_padres"
"281","M","3","male","adulto_mayor","solo","sin_padres"
"282","M","3","male","joven","solo","sin_padres"
"283","M","3","male","joven","solo","sin_padres"
"284","S","3","male","joven","solo","sin_padres"
"285","M","1","male","adulto_mayor","solo","sin_padres"
"286","M","3","male","adulto","solo","sin_padres"
"287","S","3","male","adulto","solo","sin_padres"
"288","M","3","male","joven","solo","sin_padres"
"289","S","2","male","adulto","solo","sin_padres"
"290","S","3","female","joven","solo","sin_padres"
"291","S","1","female","joven","solo","sin_padres"
"292","S","1","female","joven","pareja","sin_padres"
"293","M","2","male","adulto","solo","sin_padres"
"294","M","3","female","joven","solo","sin_padres"
"295","M","3","male","joven","solo","sin_padres"
"296","M","1","male","adulto_mayor","solo","sin_padres"
"297","M","3","male","joven","solo","sin_padres"
"298","M","1","female","menor","pareja","con_padres"
"299","S","1","male","adulto","solo","sin_padres"
"300","S","1","female","adulto_mayor","solo","con_padres"
"301","S","3","female","joven","solo","sin_padres"
"302","S","3","male","joven","pocos_hermanos","sin_padres"
"303","M","3","male","joven","solo","sin_padres"
"304","S","2","female","adulto","solo","sin_padres"
"305","M","3","male","joven","solo","sin_padres"
"306","S","1","male","menor","pareja","con_padres"
"307","S","1","female","adulto","solo","sin_padres"
"308","S","1","female","joven","pareja","sin_padres"
"309","M","2","male","adulto","pareja","sin_padres"
"310","S","1","female","adulto","solo","sin_padres"
"311","S","1","female","joven","solo","sin_padres"
"312","S","1","female","joven","pocos_hermanos","con_padres"
"313","M","2","female","joven","pareja","con_padres"
"314","M","3","male","joven","solo","sin_padres"
"315","M","2","male","adulto","pareja","con_padres"
"316","S","3","female","joven","solo","sin_padres"
"317","S","2","female","joven","pareja","sin_padres"
"318","M","2","male","adulto_mayor","solo","sin_padres"
"319","S","1","female","adulto","solo","con_padres"
"320","S","1","female","adulto","pareja","con_padres"
"321","M","3","male","joven","solo","sin_padres"
"322","M","3","male","joven","solo","sin_padres"
"323","S","2","female","adulto","solo","sin_padres"
"324","S","2","female","joven","pareja","con_padres"
"325","M","3","male","menor","muchos_hermanos","con_padres"
"326","S","1","female","adulto","solo","sin_padres"
"327","M","3","male","adulto_mayor","solo","sin_padres"
"328","S","2","female","adulto","solo","sin_padres"
"329","S","3","female","adulto","pareja","con_padres"
"330","S","1","female","joven","solo","con_padres"
"331","S","3","female","joven","pocos_hermanos","sin_padres"
"332","M","1","male","adulto_mayor","solo","sin_padres"
"333","M","1","male","adulto","solo","con_padres"
"334","M","3","male","joven","pocos_hermanos","sin_padres"
"335","S","1","female","adulto","pareja","sin_padres"
"336","M","3","male","joven","solo","sin_padres"
"337","M","1","male","adulto","pareja","sin_padres"
"338","S","1","female","adulto","solo","sin_padres"
"339","S","3","male","adulto_mayor","solo","sin_padres"
"340","M","1","male","adulto_mayor","solo","sin_padres"
"341","S","2","male","menor","pareja","con_padres"
"342","S","1","female","joven","pocos_hermanos","con_padres"
"343","M","2","male","joven","solo","sin_padres"
"344","M","2","male","joven","solo","sin_padres"
"345","M","2","male","adulto","solo","sin_padres"
"346","S","2","female","joven","solo","sin_padres"
"347","S","2","female","adulto","solo","sin_padres"
"348","S","3","female","joven","pareja","sin_padres"
"349","S","3","male","menor","pareja","con_padres"
"350","M","3","male","adulto","solo","sin_padres"
"351","M","3","male","joven","solo","sin_padres"
"352","M","1","male","adulto_mayor","solo","sin_padres"
"353","M","3","male","joven","pareja","con_padres"
"354","M","3","male","joven","pareja","sin_padres"
"355","M","3","male","joven","solo","sin_padres"
"356","M","3","male","joven","solo","sin_padres"
"357","S","1","female","joven","solo","con_padres"
"358","M","2","female","adulto","solo","sin_padres"
"359","S","3","female","joven","solo","sin_padres"
"360","S","3","female","joven","solo","sin_padres"
"361","M","3","male","adulto","pareja","con_hijos"
"362","M","2","male","adulto","pareja","sin_padres"
"363","M","3","female","adulto_mayor","solo","con_padres"
"364","M","3","male","adulto","solo","sin_padres"
"365","M","3","male","joven","pareja","sin_padres"
"366","M","3","male","adulto","solo","sin_padres"
"367","S","1","female","adulto_mayor","pareja","sin_padres"
"368","S","3","female","joven","solo","sin_padres"
"369","S","3","female","joven","solo","sin_padres"
"370","S","1","female","joven","solo","sin_padres"
"371","S","1","male","joven","pareja","sin_padres"
"372","M","3","male","joven","pareja","sin_padres"
"373","M","3","male","joven","solo","sin_padres"
"374","M","1","male","joven","solo","sin_padres"
"375","M","3","female","menor","pocos_hermanos","con_padres"
"376","S","1","female","adulto","pareja","sin_padres"
"377","S","3","female","joven","solo","sin_padres"
"378","M","1","male","joven","solo","con_padres"
"379","M","3","male","joven","solo","sin_padres"
"380","M","3","male","joven","solo","sin_padres"
"381","S","1","female","adulto","solo","sin_padres"
"382","S","3","female","menor","solo","con_padres"
"383","M","3","male","adulto","solo","sin_padres"
"384","S","1","female","adulto","pareja","sin_padres"
"385","M","3","male","joven","solo","sin_padres"
"386","M","2","male","joven","solo","sin_padres"
"387","M","3","male","menor","muchos_hermanos","con_padres"
"388","S","2","female","adulto","solo","sin_padres"
"389","M","3","male","joven","solo","sin_padres"
"390","S","2","female","joven","solo","sin_padres"
"391","S","1","male","adulto","pareja","con_padres"
"392","S","3","male","joven","solo","sin_padres"
"393","M","3","male","joven","pocos_hermanos","sin_padres"
"394","S","1","female","joven","pareja","sin_padres"
"395","S","3","female","joven","solo","con_padres"
"396","M","3","male","joven","solo","sin_padres"
"397","M","3","female","adulto","solo","sin_padres"
"398","M","2","male","adulto_mayor","solo","sin_padres"
"399","M","2","male","joven","solo","sin_padres"
"400","S","2","female","joven","solo","sin_padres"
"401","S","3","male","adulto","solo","sin_padres"
"402","M","3","male","joven","solo","sin_padres"
"403","M","3","female","joven","pareja","sin_padres"
"404","M","3","male","joven","pareja","sin_padres"
"405","M","3","female","joven","solo","sin_padres"
"406","M","2","male","adulto","pareja","sin_padres"
"407","M","3","male","adulto_mayor","solo","sin_padres"
"408","S","2","male","menor","pareja","con_padres"
"409","M","3","male","joven","solo","sin_padres"
"410","M","3","female","menor","pocos_hermanos","con_padres"
"411","M","3","male","joven","solo","sin_padres"
"412","M","3","male","joven","solo","sin_padres"
"413","S","1","female","adulto","pareja","sin_padres"
"414","M","2","male","adulto","solo","sin_padres"
"415","S","3","male","adulto","solo","sin_padres"
"416","M","3","female","joven","solo","sin_padres"
"417","S","2","female","adulto","pareja","con_padres"
"418","S","2","female","joven","solo","con_padres"
"419","M","2","male","adulto","solo","sin_padres"
"420","M","3","female","menor","solo","con_padres"
"421","M","3","male","joven","solo","sin_padres"
"422","M","3","male","joven","solo","sin_padres"
"423","M","3","male","adulto","solo","sin_padres"
"424","M","3","female","joven","pareja","con_padres"
"425","M","3","male","joven","pareja","con_padres"
"426","M","3","male","joven","solo","sin_padres"
"427","S","2","female","joven","pareja","sin_padres"
"428","S","2","female","joven","solo","sin_padres"
"429","M","3","male","joven","solo","sin_padres"
"430","S","3","male","adulto","solo","sin_padres"
"431","S","1","male","joven","solo","sin_padres"
"432","S","3","female","joven","pareja","sin_padres"
"433","S","2","female","adulto","pareja","sin_padres"
"434","M","3","male","joven","solo","sin_padres"
"435","M","1","male","adulto_mayor","pareja","sin_padres"
"436","S","1","female","menor","pareja","con_padres"
"437","M","3","female","joven","pocos_hermanos","con_padres"
"438","S","2","female","joven","pocos_hermanos","con_hijos"
"439","M","1","male","adulto_mayor","pareja","con_hijos"
"440","M","2","male","adulto","solo","sin_padres"
"441","S","2","female","adulto_mayor","pareja","con_padres"
"442","M","3","male","joven","solo","sin_padres"
"443","M","3","male","joven","pareja","sin_padres"
"444","S","2","female","joven","solo","sin_padres"
"445","S","3","male","joven","solo","sin_padres"
"446","S","1","male","menor","solo","con_padres"
"447","S","2","female","menor","solo","con_padres"
"448","S","1","male","adulto","solo","sin_padres"
"449","S","3","female","menor","pocos_hermanos","con_padres"
"450","S","1","male","adulto_mayor","solo","sin_padres"
"451","M","2","male","adulto","pareja","con_padres"
"452","M","3","male","joven","pareja","sin_padres"
"453","M","1","male","adulto","solo","sin_padres"
"454","S","1","male","adulto_mayor","pareja","sin_padres"
"455","M","3","male","joven","solo","sin_padres"
"456","S","3","male","adulto","solo","sin_padres"
"457","M","1","male","adulto_mayor","solo","sin_padres"
"458","S","1","female","adulto","pareja","sin_padres"
"459","S","2","female","adulto_mayor","solo","sin_padres"
"460","M","3","male","joven","solo","sin_padres"
"461","S","1","male","adulto_mayor","solo","sin_padres"
"462","M","3","male","adulto","solo","sin_padres"
"463","M","1","male","adulto_mayor","solo","sin_padres"
"464","M","2","male","adulto_mayor","solo","sin_padres"
"465","M","3","male","joven","solo","sin_padres"
"466","M","3","male","adulto","solo","sin_padres"
"467","M","2","male","adulto","solo","sin_padres"
"468","M","1","male","adulto_mayor","solo","sin_padres"
"469","M","3","male","joven","solo","sin_padres"
"470","S","3","female","menor","pocos_hermanos","con_padres"
"471","M","3","male","joven","solo","sin_padres"
"472","M","3","male","adulto","solo","sin_padres"
"473","S","2","female","adulto","pareja","con_padres"
"474","S","2","female","joven","solo","sin_padres"
"475","M","3","female","joven","solo","sin_padres"
"476","M","1","male","adulto_mayor","solo","sin_padres"
"477","M","2","male","adulto","pareja","sin_padres"
"478","M","3","male","adulto","pareja","sin_padres"
"479","M","3","male","joven","solo","sin_padres"
"480","S","3","female","menor","solo","con_padres"
"481","M","3","male","menor","muchos_hermanos","con_padres"
"482","M","2","male","adulto","solo","sin_padres"
"483","M","3","male","adulto_mayor","solo","sin_padres"
"484","S","3","female","adulto_mayor","solo","sin_padres"
"485","S","1","male","joven","pareja","sin_padres"
"486","M","3","female","menor","pocos_hermanos","con_padres"
"487","S","1","female","adulto","pareja","sin_padres"
"488","M","1","male","adulto_mayor","solo","sin_padres"
"489","M","3","male","adulto","solo","sin_padres"
"490","S","3","male","menor","pareja","con_padres"
"491","M","3","male","joven","pareja","sin_padres"
"492","M","3","male","joven","solo","sin_padres"
"493","M","1","male","adulto_mayor","solo","sin_padres"
"494","M","1","male","adulto_mayor","solo","sin_padres"
"495","M","3","male","joven","solo","sin_padres"
"496","M","3","male","joven","solo","sin_padres"
"497","S","1","female","adulto_mayor","pareja","sin_padres"
"498","M","3","male","joven","solo","sin_padres"
"499","M","1","female","joven","pareja","con_padres"
"500","M","3","male","joven","solo","sin_padres"
"501","M","3","male","joven","solo","sin_padres"
"502","M","3","female","joven","solo","sin_padres"
"503","M","3","female","joven","solo","sin_padres"
"504","M","3","female","adulto","solo","sin_padres"
"505","S","1","female","joven","solo","sin_padres"
"506","M","1","male","joven","pareja","sin_padres"
"507","S","2","female","adulto","solo","con_padres"
"508","S","1","male","adulto","solo","sin_padres"
"509","M","3","male","joven","solo","sin_padres"
"510","S","3","male","joven","solo","sin_padres"
"511","S","3","male","adulto","solo","sin_padres"
"512","M","3","male","joven","solo","sin_padres"
"513","S","1","male","adulto","solo","sin_padres"
"514","S","1","female","adulto_mayor","pareja","sin_padres"
"515","M","3","male","joven","solo","sin_padres"
"516","M","1","male","adulto_mayor","solo","sin_padres"
"517","S","2","female","adulto","solo","sin_padres"
"518","M","3","male","joven","solo","sin_padres"
"519","S","2","female","adulto","pareja","sin_padres"
"520","M","3","male","adulto","solo","sin_padres"
"521","S","1","female","adulto","solo","sin_padres"
"522","M","3","male","joven","solo","sin_padres"
"523","M","3","male","joven","solo","sin_padres"
"524","S","1","female","adulto","solo","con_padres"
"525","M","3","male","joven","solo","sin_padres"
"526","M","3","male","adulto","solo","sin_padres"
"527","S","2","female","adulto_mayor","solo","sin_padres"
"528","M","1","male","adulto_mayor","solo","sin_padres"
"529","M","3","male","adulto","solo","sin_padres"
"530","M","2","male","joven","pocos_hermanos","con_padres"
"531","S","2","female","menor","pareja","con_padres"
"532","M","3","male","joven","solo","sin_padres"
"533","M","3","male","joven","pareja","con_padres"
"534","S","3","female","menor","solo","con_padres"
"535","M","3","female","adulto","solo","sin_padres"
"536","S","2","female","menor","solo","con_padres"
"537","M","1","male","adulto_mayor","solo","sin_padres"
"538","S","1","female","adulto","solo","sin_padres"
"539","M","3","male","joven","solo","sin_padres"
"540","S","1","female","joven","solo","con_padres"
"541","S","1","female","adulto","solo","con_padres"
"542","M","3","female","menor","muchos_hermanos","con_padres"
"543","M","3","female","menor","muchos_hermanos","con_padres"
"544","S","2","male","adulto","pareja","sin_padres"
"545","M","1","male","adulto_mayor","pareja","sin_padres"
"546","M","1","male","adulto_mayor","solo","sin_padres"
"547","S","2","female","joven","pareja","sin_padres"
"548","S","2","male","adulto","solo","sin_padres"
"549","M","3","male","adulto","pareja","con_padres"
"550","S","2","male","menor","pareja","con_padres"
"551","S","1","male","joven","solo","con_padres"
"552","M","2","male","joven","solo","sin_padres"
"553","M","3","male","joven","solo","sin_padres"
"554","S","3","male","joven","solo","sin_padres"
"555","S","3","female","joven","solo","sin_padres"
"556","M","1","male","adulto_mayor","solo","sin_padres"
"557","S","1","female","adulto_mayor","pareja","sin_padres"
"558","M","1","male","adulto_mayor","solo","sin_padres"
"559","S","1","female","adulto","pareja","con_padres"
"560","S","3","female","adulto","pareja","sin_padres"
"561","M","3","male","joven","solo","sin_padres"
"562","M","3","male","adulto","solo","sin_padres"
"563","M","2","male","joven","solo","sin_padres"
"564","M","3","male","joven","solo","sin_padres"
"565","M","3","female","joven","solo","sin_padres"
"566","M","3","male","joven","pocos_hermanos","sin_padres"
"567","M","3","male","joven","solo","sin_padres"
"568","M","3","female","adulto","solo","con_hijos"
"569","M","3","male","joven","solo","sin_padres"
"570","S","3","male","adulto","solo","sin_padres"
"571","S","2","male","adulto_mayor","solo","sin_padres"
"572","S","1","female","adulto_mayor","pocos_hermanos","sin_padres"
"573","S","1","male","adulto","solo","sin_padres"
"574","S","3","female","joven","solo","sin_padres"
"575","M","3","male","joven","solo","sin_padres"
"576","M","3","male","joven","solo","sin_padres"
"577","S","2","female","adulto","solo","sin_padres"
"578","S","1","female","adulto","pareja","sin_padres"
"579","M","3","female","joven","pareja","sin_padres"
"580","S","3","male","adulto","solo","sin_padres"
"581","S","2","female","joven","pareja","con_padres"
"582","S","1","female","adulto","pareja","con_padres"
"583","M","2","male","adulto_mayor","solo","sin_padres"
"584","M","1","male","adulto","solo","sin_padres"
"585","M","3","male","joven","solo","sin_padres"
"586","S","1","female","joven","solo","con_padres"
"587","M","2","male","adulto_mayor","solo","sin_padres"
"588","S","1","male","adulto_mayor","pareja","con_padres"
"589","M","3","male","joven","solo","sin_padres"
"590","M","3","male","joven","solo","sin_padres"
"591","M","3","male","adulto","solo","sin_padres"
